S,p03,p04,p05,p06,p07,p08,p09
80,-0.34910870743348094,-0.6600873592131281,-0.9076161207732768,-1.1055272109026946,-1.2746268142446198,-1.4365106578373186,-1.6288517675341256
81,-0.4027967743943643,-0.7613312136353294,-1.0449758842294155,-1.2708353626876987,-1.4632514043531912,-1.6470548247223062,-1.8650176166100567
82,-0.45867542166810465,-0.868341628182237,-1.1906104557298278,-1.4462305917384815,-1.6633938676517717,-1.8704067019716275,-2.115446927752307
83,-0.5153067371330589,-0.9793813955824515,-1.3425621388359037,-1.6295794183063594,-1.8727695401808409,-2.104137217460833,-2.37754183338989
84,-0.5708728383577666,-1.0922642805855296,-1.4983843360377502,-1.8182332025617114,-2.0885590447022317,-2.3452658558873516,-2.648135422811912
85,-0.6231611390108679,-1.2043530873360242,-1.655149405231321,-2.009043611326364,-2.3074301083048114,-2.590288396505358,-2.9235262907190416
86,-0.6695600735081255,-1.3125715913842317,-1.8094721150191673,-2.1983947042366365,-2.5255766852851966,-2.835222486083666,-3.1995314147074625
87,-0.7070663222027485,-1.4134307667249546,-1.9575486280129921,-2.3822511765815233,-2.738774597557064,-3.0756699590937906,-3.471555932043413
88,-0.7323041626033949,-1.5030691580937976,-2.0952102910789416,-2.556221612431542,-2.9424522040550403,-3.3068941075050984,-3.734677673730141
89,-0.7415571130088505,-1.5773066684468984,-2.217990893745497,-2.715634975032155,-3.13177398642282,-3.5239094870960996,-3.9837437150734067
90,-0.7308115569748252,-1.6317104813401484,-2.321205502447615,-2.855628023114176,-3.301734421046115,-3.721581354933845,-4.213475743754014
91,-0.6958115643530993,-1.6616713453598442,-2.4000385155305004,-2.9712409165244535,-3.4472591199057656,-3.894731483985314,-4.418580746226219
92,-0.6321236806229591,-1.662488036189147,-2.4496382324059596,-3.057517979611446,-3.5633099788657363,-4.038246906793718,-4.593863378458296
93,-0.5352100621346334,-1.629457499187148,-2.465215003048571,-3.109610435041288,-3.6449909772536593,-4.147188102571164,-4.7343364153324075
94,-0.400508008571554,-1.557967973321639,-2.442139927006459,-3.12287790518998,-3.687651323769625,-4.216893254169607,-4.835325853490047
95,-0.22351369917318897,-1.443592311169084,-2.3760411027067385,-3.092985596293618,-3.6869828303349506,-4.24307544890743,-4.892567556834626
96,0.00013221500156923582,-1.2821787385654537,-2.2628945800898137,-3.0159943192065386,-3.639108700512095,-4.221910060028344,-4.902292758563065
97,0.2745595702007275,-1.0699364345887807,-2.0991074288623235,-2.888440841599915,-3.5406613210662963,-4.150109999131479,-4.861300241184452
98,0.6035865739457469,-0.803513546197343,-1.881590682968004,-2.707406487952757,-3.388847119364047,-4.024987047463613,-4.767013577416912
99,0.9906428648664756,-0.4800655665205156,-1.6078203383246503,-2.470572381599845,-3.181497069612216,-3.844498027785437,-4.617522401157714
100,1.4386997978164007,-0.09731238316479374,-1.2758850429997581,-2.176260232853444,-2.9171019714448576,-3.6072751418992244,-4.411607261503803
101,1.950209735085373,0.3464172767745577,-0.8845196041159964,-1.823458094818009,-2.594832160599303,-3.312640347229534,-4.148748169524108
102,2.527055803483025,0.8521548352767416,-0.4331239220537242,-1.4118310119268784,-2.2145418215867796,-2.960604157560054,-3.829117456504161
103,3.1705132193782237,1.4202746694366608,0.0782325696746522,-0.9417169562472072,-1.7767585377810313,-2.5518497107249516,-3.453558007319124
104,3.8812229056806036,2.050490687163964,0.6488204484003557,-0.4141088673357274,-1.282659120817753,-2.087703336379265,-3.023548301976575
105,4.659177742091991,2.7418662231806223,1.2772729368439872,0.1693760290077062,-0.7340330981370435,-1.5700931713093613,-2.5411559851026055
106,5.503721417434004,3.492836447481462,1.9616204119488945,0.8065381575153907,-0.13323549880048802,-1.0014976033903888,-2.0089818849036156
107,6.413559503615862,4.301242172662834,2.6993353147823917,1.494647103384672,0.5168692389905694,-0.3848854780645006,-1.4300965211470729
108,7.386782055610164,5.164373700169156,3.4873858010468606,2.230500870499208,1.2129703084748034,0.2763499243549017,-0.8079711809281243
109,8.420896769446085,6.07902316192277,4.322296353694188,3.0104909920957823,1.9513785586451782,0.9784611298597312,-0.14640560874941144
110,9.512871506564702,7.041543693558605,5.200213527671149,3.8306715938358327,2.7280975692590914,1.7174189816906882,0.5505457367783073
111,10.659184821528012,8.047913716686095,6.116975006907532,4.68683056451189,3.5388959320384217,2.488985588904047,1.2786470527850646
112,11.855883012394575,9.093804605940914,7.068180217883668,5.574561095722341,4.379379029786978,3.28878604098648,2.0335525672590116
113,13.098642147786332,10.174650066378632,8.049260854971862,6.489331999595649,5.2450587783085645,4.112377410913837,2.8108745122339407
114,14.382833509372306,11.285715640771876,9.055549820661746,7.426555392870604,6.131419996388132,4.955313785502735,3.606246519812739
115,15.703590918582533,12.422166896765585,10.082347259963331,8.381650536868701,7.033982286216034,5.813206290880757,4.415381505364735
116,17.055878486457665,13.579135002383858,11.124982563663277,9.350102836808283,7.948356531513312,6.681777313404869,5.234123340596231
117,18.434557429521448,14.751778576904861,12.178871420871218,10.327517221894666,8.870295345015577,7.556908343950219,6.058491848827519
