S,p03,p04,p05,p06,p07,p08,p09
107,2.8349386630312168,0.9760702126313525,-0.24194774398655916,-1.1415771948791509,-1.8955151933777614,-2.6298414568471706,-3.522997623363633
108,3.627083085068028,1.6863504945840546,0.4190201097347579,-0.5146128562292684,-1.2955223479266031,-2.0552847410733044,-2.9790282840591154
109,4.466490751104635,2.439668769390968,1.1208566364231842,0.15189403077418007,-0.6569192889988251,-1.4428990952583653,-2.398100344541376
110,5.349318999289032,3.2320470136233403,1.8595342223568068,0.8538920887620094,0.016229226317054923,-0.7967572265980216,-1.784291593843168
111,6.271405110513317,4.059251493680982,2.6308066670098107,1.5871366624392813,0.7196848300101699,-0.12108785983429016,-1.141816142639751
112,7.228336902542409,4.916864641651575,3.430281051173889,2.3472614067925335,1.4491067805322722,0.5797950808998031,-0.47495422332408666
113,8.215523522120805,5.800355424983472,4.253487145644286,3.1298467777981287,2.2001196123900613,1.3015592689928468,0.21201351327126972
114,9.22826491228319,6.705146818218921,5.095943068285269,3.930484210638774,2.968376047823984,2.039915662699432,0.9148661901303257
115,10.261818602298067,7.626679192591546,5.953216122317961,4.744835005682724,3.749614262644929,2.790674242270086,1.6294966234629449
116,11.311462658855831,8.560468658013676,6.820977978833653,5.568683178406264,4.539708837900314,3.549793198240092,2.3519584513578273
117,12.372553840269784,9.502159613155836,7.695053593406964,6.397981758737092,5.334714958876585,4.313421201895018,3.078506181694518
118,13.440580203158436,10.447570975911091,8.571463464104134,7.228892240756402,6.130905636412276,5.077932599678725,3.8056280766525674
119,14.511207616037947,11.39273577204003,9.446459039390387,8.057817081284657,6.924801918803425,5.839955562247745,4.530071973742444
120,15.580319830500944,12.333933949576803,10.31655126696549,8.881425320953085,7.713196231689423,6.596393381943955,5.248864299233702
121,16.644051943691807,13.267718456700717,11.178532433695842,9.696671552505443,8.493169127122613,7.344439249247614,5.959322658012489
122,17.698817251437493,14.190934769067987,12.029491582238094,10.500808586457744,9.262099840277571,8.081584948406118,6.659062484477651
123,18.741327637313265,15.100734177310216,12.866823900483482,11.291394264147137,10.01767114355907,8.805623995635514,7.345998313125257
124,19.768607767628943,15.994581246461337,13.688234565631952,12.066292943045553,10.75786905407714,9.514649801758779,8.01834027676147
125,20.77800346463956,16.87025593667233,14.491737586959808,12.82367223109695,11.48097799372163,10.207049476471397,8.674586466988288
126,21.767184710881082,17.725850929921627,15.2756502319491,13.561995576415775,12.185572022878688,10.881493906364348,9.31351179853781
127,22.73414379691374,18.559764742064644,16.03858364076096,14.280011330060915,12.87050277252817,11.53692473581689,9.934154009037144
128,23.677189164115653,19.370691215676672,16.779430236885062,14.976738893761166,13.53488468743791,12.172538862133031,10.535797401469615
129,24.594935515671246,20.157605988790728,17.49734853033509,15.65145254481184,14.178078167457286,12.7877710258959,11.117954901395954
130,25.48629077380795,20.919750520438107,18.191745884682398,16.303663499818555,14.799671158926841,13.382275038128633,11.680348957004938
131,26.350440452953627,21.65661422809073,18.862259785631075,16.933100739051277,15.399459704298302,13.95590413911414,12.222891760324472
132,27.18682999757558,22.367915257340165,19.508738106596724,17.539691067633534,15.977427909674802,14.508690932670376,12.745665214433544
133,27.995145603889604,23.053580362481796,20.1312188200502,18.12353883956561,16.533727737667192,15.040827286000003,13.24890101630487
134,28.77529400689607,23.713724330184682,20.729909553173975,18.68490571847854,17.068658979603946,15.55264453072951,13.73296116976217
135,29.527381671921304,24.348629329327665,21.305167334674735,19.224190796235696,17.58264970774004,16.044594247262012,14.198319189374331
136,30.2516937836792,24.958724519595954,21.857478828111,19.74191133854095,18.076237456119415,16.51722986260271,14.645542204844553
137,30.94867337763514,25.544566201262775,22.38744129661736,20.23868437712526,18.550051329844663,16.97118924366645,15.07527412773264
138,31.61890091059778,26.106818739879856,22.895744496573478,20.715209320705874,19.00479519578724,17.407178422302394,15.488219998576369
139,32.2630745195001,26.646236453151317,23.383153652070376,21.172251713992196,19.441232066405334,17.825956548123756,15.885131593128676
140,32.88199117189752,27.163646603970903,23.850493621790747,21.61062823427038,19.860169749870593,18.228322128200958,16.266794331681922
141,33.47652886833057,27.659933603864673,24.298634332274816,22.031192980157144,20.262447806494066,18.61510058108955,16.634015505361077
142,34.04763001676088,28.136024495294265,24.728477518814884,22.43482507646206,20.6489258224817,18.987133105101606,16.987613807727797
143,34.59628606284113,28.59287574956042,25.1409447866628,22.82241759258916,21.02047298749916,19.345266838019626,17.328410138929584
144,35.12352342694065,29.03146138947008,25.536966980993014,23.1948677498945,21.37795894182517,19.690346266269643,17.6572196325246
145,35.630390770496234,29.45276242261663,25.917474833477883,23.553068375292696,21.722245842980215,20.023205826889168,17.974844841936388
146,36.117947588844146,29.85775755132849,26.283390837116016,23.897900543921935,22.054181588452337,20.34466363430667,18.282070013617258
147,36.58725410719583,30.247415109755238,26.635622288057803,24.23022734288871,22.374594121839664,20.655516255468243,18.579656367153774
148,37.03936243875425,30.622686165973434,26.97505542329104,24.550888680082394,22.684286743352544,20.956534451754294,18.86833829857899
149,37.47530895027893,30.98449871779181,27.30255057634423,24.860697056755754,22.98403434113112,21.24845980295831,19.14882042121171
150,37.89610776918515,31.333752904312462,27.618938269046467,25.16043422008991,23.274580458709693,21.532002127838368,19.42177535827021
151,38.302745358714674,31.67131715143583,27.92501615489904,25.450848610886112,23.556635113591184,21.80783761677283,19.687842203525108
152,38.69617608235316,31.998025167268906,28.221546730011227,25.73265352214449,23.830873283540654,22.076607593702846,19.947625568826055
153,39.077318674984696,32.314673703573504,28.509255728268812,26.006525887125065,24.097933980234032,22.338917828678362,20.201695141357234
154,39.44705353761577,32.62202100048519,28.788831120317226,26.273105618254178,24.358419833746936,22.59533832620555,20.45058567814486
155,39.80622077270475,32.92078583442439,29.060922639457587,26.532995422475025,24.6128971154711,22.84640351897096,20.694797370301288
156,40.15561887857935,33.21164709270121,29.3261417617817,26.786761023574357,24.861896132576433,23.092612802630796,20.934796515099663
157,40.49600402467455,33.4952438023727,29.585062072663604,27.0349317268888,25.10591193208711,23.33443135209201,21.17101643934447
158,40.82808983268613,33.77217554583112,29.83821995710052,27.278001267308838,25.34540525827751,23.572291165467618,21.40385862315881
159,41.15254759311853,34.0430032006477,30.086115556368043,27.516428886819355,25.580803712517763,23.806592287542472,21.633693978920476
160,41.47000685170248,34.308249946465,30.329213939163324,27.75064059335648,25.81250307007572,24.03770416963198,21.86086424497269
161,41.781056304543185,34.568402486985406,30.567946440668337,27.981030557933906,26.04086871368061,24.265967128130583,22.08568345922579
162,42.08624494699542,34.82391244061347,30.802712128041776,28.207962612092885,26.26623714846481,24.4916938687588,22.30843948225285
163,42.386083425563825,35.07519785803872,31.033879355903693,28.431771812499917,26.488917567780845,24.715171048056206,22.529395543725528
164,42.68104554766197,35.32264483041914,31.26178738000469,28.652766044411138,26.70919344372855,24.93666084819779,22.748791790522205
165,42.97156990938937,35.566609156132145,31.48674800185134,28.87122763905019,26.927324119968077,25.156402544399015,22.96684681799057
166,43.258061605454756,35.807418038585936,31.709047220938302,29.087414984784488,27.143546388433037,25.374614048472566,23.183759169617346
167,43.54089399068464,36.04537179166769,31.928946874685593,29.301564114850365,27.358076034789036,25.591493414747646,23.399708793029106
168,43.8204104662173,36.28074553292393,32.14668625053356,29.51389025779001,27.57110934019593,25.80722029749296,23.61485844296034
169,44.09692626784256,36.513790848258054,32.362483656501695,29.724589339251395,27.782824529783667,26.021957351384017,23.829355024160037
170,44.37073023724487,36.744737414566586,32.57653793994422,29.933839426828968,27.993383160662688,26.235851568976187,24.043330869186263
171,44.64208656020041,36.973794569867025,32.789029946400206,30.141802111370808,28.202931444097956,26.449035550787414,24.256904947656466
172,44.91123645890944,37.20115282253218,33.000123912826496,30.34862382010637,28.411601498192596,26.66162870512636,24.470184005162565
173,45.178399828234106,37.42698529369193,33.20996879068687,30.554437058781758,28.61951252913144,26.873738376446,24.683263631109043
174,45.44377680765663,37.651449088224,33.41869949657905,30.759361581275613,28.826771940197915,27.085460901949432,24.896229255847402
175,45.70754928345728,37.87468659188562,33.62643808917696,30.963505486086262,29.033476368456945,27.296882596952088,25.109157078249922
176,45.96988231656027,38.096826693069374,33.83329487205842,31.16696624055919,29.239712650676353,27.50808067083028,25.32211492560137
